3_510,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_490,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_470,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_390,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_470,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_450,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_430,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_430,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_450,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_410,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_510,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_410,2,,,,,,,,,,
3_410,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_370,2,,,,,,,,,,
3_530,1,,,,,,,,,,
3_450,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_490,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_450,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_470,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_430,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_530,2,,,,,,,,,,
